ClienteID,FechaRegistro,Genero,EsMayor,TienePareja,TieneDependientes,Ciudad,Estado,Borough,CodigoPostal,Latitud,Longitud,IngresoMediano,DensidadPoblacional,ServicioTelefono,LineasMultiples,TipoInternet,SeguridadOnline,RespaldoOnline,ProteccionDispositivo,SoporteTecnico,StreamingTV,StreamingPeliculas,TipoContrato,FacturacionSinPapel,MetodoPago,Antiguedad,CargoMensual,CargosTotal,SegmentoCliente,nivel_riesgo,score_riesgo,ratio_precio_ingreso,TipoDeQueja,TicketsSoporte,Escaladas,PuntuacionNPS,PuntuacionCSAT,TiempoResolucion,TasaAperturaEmail,TasaClicsMarketing,Cancelacion
0999-QXNSA,2025-06-14,Masculino,1,No,Si,New York,NY,QUEENS,11196,40.69734934099308,-73.82816986200068,72000,8500,Si,No,DSL,No,No,No,No,No,No,Mensual,Si,Cheque por correo,7,45.75,344.2,Residencial,Alto,8.5,0.007625,Servicio,2,0,40.0,3.5,12.7,0.35,0.15,No
1000-AJSLD,2025-12-11,Masculino,0,No,No,New York,NY,MANHATTAN,10154,40.80071417886014,-73.95099028116205,85000,28000,Si,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Mensual,Si,Cheque por correo,1,20.1,20.1,Residencial,Alto,9.0,0.0028376470588235,Red,8,0,16.0,2.7,14.0,0.09,0.04,Si
1004-NOZNR,2021-06-05,Masculino,1,No,Si,New York,NY,BROOKLYN,11251,40.65088859148029,-73.96311698989724,63000,14000,Si,No,Fibra óptica,Si,No,No,No,Si,Si,Un año,No,Tarjeta de crédito,56,94.8,5264.3,PYME,Medio,7.0,0.0180571428571428,,2,0,73.0,4.3,21.1,0.69,0.31,No
1009-IRMNA,2025-06-14,Femenino,0,No,No,New York,NY,MANHATTAN,10257,40.814520876705465,-73.93080183034107,85000,28000,Si,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Mensual,No,Transferencia bancaria,7,20.0,137.6,Residencial,Medio,7.5,0.0028235294117647,Calidad,5,0,13.0,1.4,26.7,0.07,0.02,Si
1010-DIAUQ,2025-08-13,Masculino,0,No,No,New York,NY,MANHATTAN,10228,40.7885596885546,-73.93688220793472,85000,28000,Si,No,Fibra óptica,No,No,Si,No,Si,Si,Mensual,No,Transferencia bancaria,5,96.5,492.55,PYME,Alto,11.0,0.0136235294117647,Servicio,7,0,16.0,1.9,29.7,0.07,0.03,Si
1013-QCWAM,2020-08-09,Femenino,1,Si,No,New York,NY,STATEN ISLAND,10309,40.61322191429587,-74.1908712615278,82000,3200,Si,Si,Fibra óptica,No,Si,No,No,Si,Si,Mensual,Si,Cheque electrónico,66,100.8,6690.75,PYME,Alto,8.5,0.0147512195121951,Servicio,3,0,64.0,3.3,25.7,0.4,0.15,No
1015-JPFYW,2025-06-14,Masculino,0,No,Si,New York,NY,BROOKLYN,11212,40.68197724912756,-73.97889574028362,63000,14000,Si,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Un año,No,Cheque por correo,7,19.45,136.75,Residencial,Medio,6.0,0.0037047619047619,,1,0,60.0,2.9,34.6,0.45,0.21,No
1015-OWJKI,2025-12-11,Masculino,0,No,No,New York,NY,BRONX,10464,40.85185614046246,-73.82023703222511,42000,13000,Si,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Mensual,No,Cheque por correo,1,19.05,19.05,Residencial,Alto,9.0,0.0054428571428571,Precio,4,0,55.0,3.8,12.6,0.39,0.16,No
1016-DJTSV,2025-05-15,Masculino,1,No,No,New York,NY,BROOKLYN,11207,40.64080554313607,-73.9066790195552,63000,14000,Si,No,Fibra óptica,No,No,No,No,No,No,Mensual,Si,Cheque electrónico,8,69.7,572.85,Residencial,Alto,10.5,0.0132761904761904,Precio,2,0,56.0,3.6,34.9,0.22,0.07,No
1017-FBQMM,2020-12-07,Femenino,0,Si,Si,New York,NY,QUEENS,11646,40.71863644299812,-73.8287032815597,72000,8500,Si,Si,Fibra óptica,No,Si,No,Si,Si,Si,Un año,Si,Tarjeta de crédito,62,106.05,6703.5,Corporativo,Medio,5.0,0.017675,,1,0,84.0,4.7,5.0,0.42,0.19,No
1020-JPQOW,2021-06-05,Femenino,0,Si,No,New York,NY,BRONX,10453,40.86349524413854,-73.83560934615778,42000,13000,Si,Si,Fibra óptica,No,Si,Si,Si,No,No,Mensual,No,Cheque electrónico,56,90.55,5116.6,Corporativo,Medio,7.5,0.0258714285714285,,1,0,82.0,4.9,6.6,0.45,0.18,No
1022-RKXDR,2022-08-29,Femenino,0,No,No,New York,NY,QUEENS,11463,40.702358500067085,-73.78941330830008,72000,8500,Si,Si,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Un año,Si,Cheque por correo,41,24.85,962.25,Residencial,Medio,5.0,0.0041416666666666,,2,0,63.0,3.5,33.4,0.46,0.23,No
1023-BQXZE,2021-05-06,Masculino,0,No,No,New York,NY,BROOKLYN,11233,40.63463192231936,-73.95396294604586,63000,14000,Si,No,DSL,Si,No,Si,No,Si,Si,Dos años,Si,Transferencia bancaria,57,74.35,4317.35,PYME,Medio,4.0,0.0141619047619047,,1,0,65.0,3.8,12.6,0.34,0.16,No
1024-GUALD,2025-12-11,Femenino,0,Si,No,New York,NY,BROOKLYN,11232,40.68785160006986,-73.96238478141957,63000,14000,No,Sin servicio,DSL,No,No,No,No,No,No,Mensual,Si,Cheque electrónico,1,24.8,24.8,Residencial,Alto,10.0,0.0047238095238095,Red,5,0,10.0,2.9,40.7,0.19,0.06,Si
1024-KPRBB,2022-11-27,Femenino,0,No,No,New York,NY,BROOKLYN,11235,40.71927949305099,-73.90954456775346,63000,14000,Si,No,Fibra óptica,No,No,No,No,Si,Si,Un año,Si,Cheque por correo,38,89.1,3342.0,PYME,Alto,8.0,0.0169714285714285,,3,0,49.0,3.4,32.1,0.32,0.12,No
1024-VRZHF,2025-02-14,Masculino,0,Si,No,New York,NY,BRONX,10463,40.85825349333661,-73.8615288377961,42000,13000,Si,Si,Fibra óptica,No,No,No,No,No,No,Mensual,Si,Cheque electrónico,11,74.95,825.7,PYME,Alto,10.5,0.0214142857142857,Red,6,0,15.0,1.6,23.8,0.09,0.04,Si
1025-FALIX,2023-11-22,Femenino,0,No,No,New York,NY,BRONX,10454,40.848011797245874,-73.888162235857,42000,13000,Si,No,Fibra óptica,No,No,No,No,No,No,Mensual,Si,Tarjeta de crédito,26,69.05,1815.65,Residencial,Alto,9.5,0.0197285714285714,Servicio,3,0,51.0,3.8,37.5,0.36,0.13,No
1027-LKKQQ,2020-02-11,Femenino,0,Si,Si,New York,NY,STATEN ISLAND,10306,40.57464076704336,-74.15005525801583,82000,3200,Si,No,DSL,Si,No,Si,Si,Si,Si,Dos años,Si,Transferencia bancaria,72,80.45,5886.85,PYME,Medio,4.0,0.0117731707317073,,1,0,76.0,4.1,10.6,0.46,0.18,No
1028-FFNJK,2023-07-25,Masculino,1,Si,No,New York,NY,MANHATTAN,10011,40.82213025571135,-73.9828051105737,85000,28000,Si,Si,Fibra óptica,No,No,No,Si,Si,Si,Mensual,Si,Cheque electrónico,30,101.5,2917.65,Corporativo,Medio,7.5,0.0143294117647058,,2,0,73.0,4.9,5.9,0.73,0.31,No
1029-QFBEN,2025-12-11,Masculino,0,No,No,New York,NY,QUEENS,11412,40.725794221754775,-73.83264168434928,72000,8500,Si,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Mensual,No,Cheque por correo,1,19.55,19.55,Residencial,Alto,9.0,0.0032583333333333,Red,5,1,12.0,2.8,16.2,0.08,0.02,Si
1031-IIDEO,2025-12-11,Femenino,0,No,No,New York,NY,BRONX,10473,40.84020965933775,-73.84135129596777,42000,13000,Si,No,Fibra óptica,No,No,No,No,No,No,Mensual,Si,Cheque electrónico,1,70.85,70.85,PYME,Alto,12.0,0.0202428571428571,Red,6,0,3.0,1.6,32.2,0.11,0.04,Si
1032-MAELW,2020-06-10,Femenino,0,Si,Si,New York,NY,MANHATTAN,10107,40.74850616528606,-73.95868539082666,85000,28000,Si,Si,DSL,Si,Si,Si,Si,No,Si,Un año,Si,Cheque electrónico,68,78.45,5333.35,PYME,Medio,4.0,0.011075294117647,,1,0,83.0,4.2,4.7,0.66,0.3,No
1035-IPQPU,2020-11-07,Femenino,1,Si,No,New York,NY,MANHATTAN,10155,40.802096435712635,-73.98772646734207,85000,28000,Si,Si,Fibra óptica,No,Si,Si,No,Si,Si,Mensual,Si,Cheque electrónico,63,103.5,6479.4,PYME,Alto,8.5,0.0146117647058823,,2,0,35.0,4.2,42.9,0.38,0.14,No
1036-GUDCL,2021-02-05,Masculino,0,Si,Si,New York,NY,QUEENS,11016,40.762304498251254,-73.7935502038658,72000,8500,Si,No,DSL,Si,Si,No,Si,Si,Si,Mensual,Si,Tarjeta de crédito,60,79.05,4663.4,PYME,Medio,5.5,0.013175,,2,0,60.0,3.4,7.8,0.39,0.17,No
1038-RQOST,2024-06-19,Masculino,0,Si,Si,New York,NY,QUEENS,11415,40.72745218540205,-73.75341138498784,72000,8500,Si,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Mensual,No,Cheque por correo,19,20.6,414.95,Residencial,Medio,7.5,0.0034333333333333,,1,0,64.0,3.3,35.2,0.49,0.22,No
1038-ZAGBI,2025-01-15,Femenino,0,Si,Si,New York,NY,BRONX,10464,40.82165991615011,-73.86136144357647,42000,13000,Si,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Un año,No,Transferencia bancaria,12,19.8,229.6,Residencial,Medio,6.0,0.0056571428571428,Precio,5,0,11.0,1.0,39.0,0.25,0.1,Si
1041-RXHRA,2022-08-29,Femenino,0,No,No,New York,NY,MANHATTAN,10232,40.77328396856899,-73.94950247264464,85000,28000,Si,No,Fibra óptica,No,No,No,No,No,No,Mensual,No,Transferencia bancaria,41,70.25,2868.05,PYME,Alto,9.5,0.0099176470588235,,8,3,10.0,3.0,21.5,0.25,0.1,Si
1042-HFUCW,2023-12-22,Femenino,0,No,Si,New York,NY,BRONX,10465,40.82521552544855,-73.83771854783357,42000,13000,Si,No,DSL,No,Si,No,Si,No,No,Un año,Si,Tarjeta de crédito,25,54.75,1266.35,PYME,Medio,5.0,0.0156428571428571,,2,0,71.0,4.9,8.9,0.57,0.22,No
1043-UXOVO,2020-03-12,Femenino,0,No,No,New York,NY,BROOKLYN,11251,40.7039402198331,-73.95850627020518,63000,14000,Si,Si,Fibra óptica,Si,Si,Si,Si,Si,Si,Dos años,Si,Tarjeta de crédito,71,113.15,7993.3,Corporativo,Medio,4.0,0.0215523809523809,,1,0,78.0,4.1,6.0,0.67,0.24,No
1043-YCUTE,2021-06-05,Masculino,0,Si,No,New York,NY,MANHATTAN,10027,40.810585840218195,-74.008229374201,85000,28000,Si,Si,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Dos años,Si,Tarjeta de crédito,56,25.15,1327.15,Residencial,Medio,4.0,0.0035505882352941,Calidad,5,2,10.0,3.0,18.8,0.08,0.03,Si
1045-LTCYT,2025-05-15,Femenino,0,Si,Si,New York,NY,MANHATTAN,10215,40.81032591646532,-73.9777342681949,85000,28000,Si,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Mensual,No,Tarjeta de crédito,8,21.05,139.75,Residencial,Medio,7.5,0.0029717647058823,,2,0,50.0,4.0,41.4,0.29,0.13,No
1047-NNCBF,2024-05-20,Masculino,0,No,No,New York,NY,BRONX,10460,40.8581283482333,-73.83372793270549,42000,13000,Si,No,Fibra óptica,No,No,No,No,No,No,Mensual,No,Tarjeta de crédito,20,70.55,1493.55,PYME,Alto,10.5,0.0201571428571428,,3,0,56.0,4.2,22.3,0.4,0.2,No
1047-RNXZV,2022-06-30,Masculino,0,No,No,New York,NY,QUEENS,11131,40.75683218061361,-73.78824359967699,72000,8500,Si,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Dos años,No,Cheque por correo,43,19.55,876.15,Residencial,Medio,4.0,0.0032583333333333,,2,0,63.0,3.8,14.4,0.4,0.14,No
1049-FYSYG,2024-08-18,Femenino,0,Si,No,New York,NY,QUEENS,11328,40.692801690559214,-73.81598217461435,72000,8500,No,Sin servicio,DSL,No,Si,Si,No,No,No,Mensual,Si,Tarjeta de crédito,17,35.65,646.05,Residencial,Medio,7.5,0.0059416666666666,,2,0,55.0,3.6,15.0,0.22,0.08,No
1051-EQPZR,2022-05-31,Femenino,0,Si,Si,New York,NY,BROOKLYN,11226,40.69594667689344,-73.91835913592003,63000,14000,Si,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Mensual,No,Cheque por correo,44,19.6,780.25,Residencial,Medio,6.5,0.0037333333333333,,2,0,65.0,3.9,31.5,0.39,0.16,No
1051-GEJLJ,2025-11-11,Femenino,0,No,No,New York,NY,BRONX,10466,40.83291005136118,-73.84285297686867,42000,13000,Si,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Mensual,No,Cheque por correo,2,19.5,27.55,Residencial,Alto,9.0,0.0055714285714285,Red,4,0,36.0,3.1,44.3,0.25,0.12,No
1052-QJIBV,2020-03-12,Femenino,0,Si,Si,New York,NY,BROOKLYN,11241,40.7258501973646,-73.92973277139276,63000,14000,Si,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Dos años,No,Tarjeta de crédito,71,19.9,1397.3,Residencial,Medio,4.0,0.0037904761904761,,2,0,72.0,4.4,31.0,0.74,0.29,No
1053-MXTTK,2020-02-11,Femenino,0,Si,Si,New York,NY,BRONX,10467,40.797171636030576,-73.9068210876366,42000,13000,Si,No,Fibra óptica,Si,Si,Si,Si,Si,Si,Dos años,Si,Transferencia bancaria,72,108.65,7726.35,Corporativo,Medio,5.0,0.0310428571428571,,1,0,50.0,4.0,4.9,0.33,0.11,No
1057-FOGLZ,2024-07-19,Femenino,0,No,No,New York,NY,BROOKLYN,11229,40.67953806462803,-73.91166787151582,63000,14000,Si,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Mensual,No,Cheque por correo,18,19.65,391.7,Residencial,Medio,7.5,0.0037428571428571,,2,0,56.0,4.0,17.2,0.36,0.15,No
1060-ENTOF,2020-07-10,Femenino,1,Si,No,New York,NY,BROOKLYN,11214,40.68913037189565,-73.94746427116684,63000,14000,Si,Si,Fibra óptica,Si,Si,Si,Si,No,Si,Un año,Si,Tarjeta de crédito,67,105.4,7035.6,Corporativo,Medio,5.0,0.0200761904761904,,1,0,77.0,4.6,2.8,0.63,0.23,No
1061-PNTHC,2021-06-05,Femenino,0,Si,Si,New York,NY,BROOKLYN,11236,40.707721658653035,-73.89729623736974,63000,14000,Si,Si,Fibra óptica,Si,No,Si,Si,Si,Si,Mensual,Si,Cheque por correo,56,109.6,5953.0,Corporativo,Medio,6.5,0.0208761904761904,,2,0,74.0,4.4,7.9,0.54,0.25,No
1062-LHZOD,2025-12-11,Masculino,0,Si,Si,New York,NY,QUEENS,11258,40.732032637200994,-73.788392620852,72000,8500,Si,No,Fibra óptica,No,No,No,No,No,No,Mensual,Si,Cheque por correo,1,69.9,69.9,Residencial,Alto,12.0,0.01165,Servicio,6,0,20.0,2.3,20.8,0.1,0.03,Si
1063-DHQJF,2020-05-11,Masculino,0,Si,Si,New York,NY,QUEENS,11505,40.768424562309626,-73.7573282963441,72000,8500,Si,No,Fibra óptica,No,Si,No,Si,Si,No,Dos años,Si,Cheque por correo,69,92.15,6480.9,Corporativo,Medio,5.0,0.0153583333333333,,2,0,62.0,4.2,4.0,0.45,0.2,No
1064-FBXNK,2025-12-11,Masculino,0,Si,Si,New York,NY,BROOKLYN,11238,40.682316155910065,-73.98535131043009,63000,14000,Si,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Un año,No,Tarjeta de crédito,1,19.85,19.85,Residencial,Medio,7.5,0.0037809523809523,,1,0,63.0,3.5,27.7,0.26,0.08,No
1066-JKSGK,2025-12-11,Masculino,0,No,No,New York,NY,BRONX,10451,40.82131232614457,-73.86529440543454,42000,13000,Si,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Mensual,No,Cheque por correo,1,20.15,20.15,Residencial,Alto,9.0,0.0057571428571428,Servicio,8,0,23.0,1.2,34.3,0.23,0.1,Si
1069-QJOEE,2023-12-22,Masculino,0,Si,Si,New York,NY,BROOKLYN,11227,40.662265507728726,-73.98779154123959,63000,14000,Si,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Un año,No,Cheque electrónico,25,19.9,505.45,Residencial,Medio,5.0,0.0037904761904761,,2,0,68.0,3.4,30.0,0.49,0.15,No
1069-XAIEM,2025-12-11,Femenino,1,No,No,New York,NY,QUEENS,11099,40.754760481825784,-73.79554691697673,72000,8500,Si,Si,Fibra óptica,No,No,No,No,No,Si,Mensual,Si,Cheque electrónico,1,85.05,85.05,PYME,Alto,12.0,0.014175,Precio,5,1,20.0,1.8,47.6,0.12,0.05,Si
1073-XXCZD,2021-07-05,Masculino,0,Si,No,New York,NY,BRONX,10472,40.81127340088877,-73.87966440653452,42000,13000,Si,Si,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Dos años,No,Transferencia bancaria,55,25.7,1443.65,Residencial,Medio,4.0,0.0073428571428571,,1,0,75.0,4.2,39.1,0.49,0.22,No
1074-AMIOH,2021-09-03,Femenino,0,Si,Si,New York,NY,QUEENS,11643,40.71295998144586,-73.77362282064831,72000,8500,Si,No,Fibra óptica,No,Si,Si,Si,Si,Si,Mensual,Si,Transferencia bancaria,53,108.25,5935.1,Corporativo,Medio,6.5,0.0180416666666666,,1,0,53.0,3.1,4.0,0.48,0.16,No
1074-WVEVG,2021-03-07,Femenino,0,Si,No,New York,NY,MANHATTAN,10001,40.76988471811428,-73.9656736677392,85000,28000,Si,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Un año,No,Cheque por correo,59,20.35,1267.0,Residencial,Medio,5.0,0.0028729411764705,,2,0,54.0,3.7,45.5,0.44,0.15,No
1075-BGWOH,2024-09-17,Masculino,1,Si,No,New York,NY,BRONX,10471,40.84410182084815,-73.83622472761132,42000,13000,Si,Si,Fibra óptica,No,No,Si,No,Si,Si,Mensual,Si,Cheque electrónico,16,98.75,1587.55,PYME,Alto,9.5,0.0282142857142857,Precio,7,1,22.0,1.1,26.0,0.08,0.03,Si
1077-HUUJM,2025-06-14,Femenino,0,No,Si,New York,NY,QUEENS,11011,40.74305341590333,-73.77236103983381,72000,8500,Si,No,Fibra óptica,No,No,No,No,No,No,Mensual,Si,Cheque electrónico,7,71.05,472.65,PYME,Alto,10.5,0.0118416666666666,Precio,2,0,51.0,3.2,46.6,0.22,0.08,No
1078-TDCRN,2025-10-12,Femenino,1,Si,No,New York,NY,BROOKLYN,11218,40.68982173962941,-73.94431271788461,63000,14000,No,Sin servicio,DSL,No,Si,No,No,No,No,Mensual,Si,Cheque electrónico,3,30.75,82.85,Residencial,Alto,9.0,0.0058571428571428,,4,0,62.0,3.6,39.2,0.34,0.13,No
1080-BWSYE,2020-10-08,Masculino,1,Si,No,New York,NY,MANHATTAN,10005,40.775972514175145,-74.00296648164218,85000,28000,Si,Si,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Dos años,No,Tarjeta de crédito,64,25.65,1740.8,Residencial,Medio,4.0,0.0036211764705882,,2,0,59.0,3.4,33.6,0.29,0.11,No
1084-MNSMJ,2021-11-02,Femenino,0,Si,Si,New York,NY,BRONX,10467,40.892536906077765,-73.83044130544064,42000,13000,Si,No,DSL,Si,Si,Si,Si,Si,Si,Dos años,No,Tarjeta de crédito,51,85.5,4421.95,PYME,Medio,4.0,0.0244285714285714,,2,0,53.0,4.0,10.4,0.32,0.14,No
1084-UQCHV,2025-12-11,Masculino,0,No,Si,New York,NY,QUEENS,11309,40.71197107747243,-73.76393257419119,72000,8500,Si,No,Fibra óptica,No,No,No,No,No,No,Mensual,No,Transferencia bancaria,1,69.75,69.75,Residencial,Alto,12.0,0.011625,Red,5,0,11.0,2.8,17.4,0.15,0.06,Si
1085-LDWAM,2020-05-11,Femenino,0,Si,Si,New York,NY,QUEENS,11626,40.71591119845345,-73.75426085176379,72000,8500,Si,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Un año,Si,Tarjeta de crédito,69,20.35,1442.65,Residencial,Medio,5.0,0.0033916666666666,,2,0,78.0,4.1,21.6,0.57,0.26,No
1086-LXKFY,2025-12-11,Femenino,0,Si,Si,New York,NY,BRONX,10455,40.81592629169382,-73.85153229651587,42000,13000,Si,No,Fibra óptica,No,No,No,No,No,No,Mensual,Si,Cheque por correo,1,69.1,69.1,Residencial,Alto,12.0,0.0197428571428571,Red,7,3,14.0,2.5,17.8,0.18,0.06,Si
1087-GRUYI,2022-11-27,Masculino,0,Si,No,New York,NY,BRONX,10471,40.85382311974063,-73.84527258670556,42000,13000,Si,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Dos años,No,Transferencia bancaria,38,20.4,743.5,Residencial,Medio,4.0,0.0058285714285714,,1,0,56.0,4.1,26.8,0.31,0.13,No
1087-UDSIH,2025-10-12,Femenino,0,No,No,New York,NY,MANHATTAN,10132,40.80248806887083,-73.93277926481706,85000,28000,Si,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Mensual,Si,Cheque por correo,3,19.6,59.75,Residencial,Alto,9.0,0.0027670588235294,Red,7,0,10.0,1.6,39.6,0.17,0.06,Si
1088-AUUZZ,2021-06-05,Masculino,0,Si,Si,New York,NY,BROOKLYN,11209,40.70437427064695,-73.98837027961376,63000,14000,Si,Si,DSL,Si,Si,No,Si,No,Si,Dos años,Si,Tarjeta de crédito,56,75.85,4261.2,Corporativo,Bajo,3.0,0.014447619047619,,0,0,77.0,4.3,7.2,0.47,0.2,No
1088-CNNKB,2020-11-07,Masculino,0,Si,No,New York,NY,BROOKLYN,11243,40.688620547986325,-73.90621479519612,63000,14000,Si,Si,DSL,Si,Si,Si,Si,No,Si,Un año,No,Tarjeta de crédito,63,80.0,5040.2,PYME,Medio,4.0,0.0152380952380952,,1,0,83.0,4.8,8.2,0.51,0.25,No
1089-HDMKP,2025-02-14,Masculino,1,No,Si,New York,NY,QUEENS,11060,40.743319771209535,-73.75927148719532,72000,8500,Si,No,DSL,No,Si,No,Si,No,No,Mensual,Si,Cheque electrónico,11,54.55,601.25,Residencial,Medio,7.5,0.0090916666666666,,1,0,74.0,4.2,9.4,0.59,0.23,No
1089-XZWHH,2024-01-21,Femenino,0,Si,Si,New York,NY,MANHATTAN,10218,40.755940896156744,-73.93897888446922,85000,28000,Si,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Dos años,Si,Cheque por correo,24,19.7,494.05,Residencial,Medio,4.0,0.0027811764705882,,1,0,55.0,3.0,15.3,0.43,0.14,No
1090-ESELR,2020-02-11,Masculino,0,Si,Si,New York,NY,QUEENS,11159,40.74873626908967,-73.79357842582205,72000,8500,Si,No,Fibra óptica,Si,Si,No,Si,Si,Si,Dos años,No,Transferencia bancaria,72,105.5,7611.55,Corporativo,Medio,4.0,0.0175833333333333,,2,0,75.0,4.8,3.2,0.47,0.15,No
1090-PYKCI,2020-05-11,Femenino,0,Si,Si,New York,NY,BRONX,10462,40.81276087388273,-73.84129768018218,42000,13000,Si,Si,Fibra óptica,Si,Si,Si,Si,Si,No,Un año,Si,Tarjeta de crédito,69,105.1,7234.8,Corporativo,Medio,6.0,0.0300285714285714,,1,0,63.0,2.8,7.0,0.47,0.2,No
1091-SOZGA,2021-06-05,Femenino,0,Si,Si,New York,NY,BRONX,10460,40.84680826832166,-73.83177498072186,42000,13000,Si,Si,Fibra óptica,No,No,Si,No,Si,Si,Un año,Si,Tarjeta de crédito,56,99.8,5515.45,Corporativo,Medio,7.0,0.0285142857142857,,2,0,77.0,4.1,43.6,0.67,0.29,No
1092-GANHU,2024-08-18,Masculino,0,No,No,New York,NY,BROOKLYN,11238,40.69912971369176,-73.98919641635652,63000,14000,Si,No,Fibra óptica,No,No,Si,No,No,No,Mensual,Si,Cheque electrónico,17,76.65,1313.55,PYME,Alto,9.5,0.0146,Red,6,1,8.0,2.9,44.0,0.07,0.02,Si
1092-WPIVQ,2024-07-19,Femenino,0,Si,Si,New York,NY,BRONX,10469,40.87506791627059,-73.83389673004928,42000,13000,Si,Si,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Dos años,No,Cheque por correo,18,25.1,428.45,Residencial,Medio,5.0,0.0071714285714285,,2,0,63.0,3.1,13.9,0.33,0.16,No
1093-YSWCA,2025-02-14,Masculino,0,No,No,New York,NY,MANHATTAN,10053,40.81223527236523,-73.96306334427953,85000,28000,Si,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Dos años,No,Tarjeta de crédito,11,19.55,223.15,Residencial,Medio,5.0,0.00276,,2,0,54.0,3.1,43.3,0.43,0.16,No
1094-BKOSX,2022-05-01,Femenino,0,Si,Si,New York,NY,BRONX,10466,40.858069604140354,-73.82851207159008,42000,13000,No,Sin servicio,DSL,No,Si,Si,Si,No,Si,Un año,No,Transferencia bancaria,45,51.0,2264.5,PYME,Medio,4.0,0.0145714285714285,,2,0,50.0,4.1,10.6,0.27,0.11,No
1095-JUDTC,2022-03-02,Femenino,1,No,No,New York,NY,MANHATTAN,10104,40.82046338226347,-74.01364455062372,85000,28000,Si,Si,Fibra óptica,No,Si,No,Si,Si,No,Mensual,Si,Cheque electrónico,47,95.05,4504.55,Corporativo,Medio,7.5,0.0134188235294117,Precio,4,0,18.0,1.6,6.5,0.07,0.03,Si
1095-WGNGG,2021-01-06,Femenino,0,Si,No,New York,NY,BROOKLYN,11226,40.6846126943762,-73.92880686399829,63000,14000,Si,Si,Fibra óptica,No,Si,No,No,Si,Si,Dos años,Si,Transferencia bancaria,61,101.05,5971.25,Corporativo,Medio,6.0,0.019247619047619,,1,0,79.0,4.4,38.2,0.61,0.19,No
1096-ADRUX,2020-08-09,Femenino,0,Si,Si,New York,NY,BRONX,10468,40.800471995355174,-73.91185236478756,42000,13000,Si,Si,Fibra óptica,No,No,No,No,No,No,Un año,Si,Transferencia bancaria,66,74.25,4859.25,PYME,Alto,8.0,0.0212142857142857,,3,0,44.0,3.2,37.0,0.33,0.15,No
1097-FSPVW,2022-07-30,Femenino,0,No,No,New York,NY,MANHATTAN,10115,40.763165564056074,-73.96339249508151,85000,28000,Si,No,DSL,Si,No,Si,No,No,No,Mensual,No,Tarjeta de crédito,42,54.55,2455.05,Residencial,Medio,7.5,0.0077011764705882,,2,0,52.0,3.3,13.3,0.37,0.14,No
1098-KFQEC,2021-07-05,Femenino,0,Si,Si,New York,NY,BROOKLYN,11201,40.68966411190544,-73.98949609465852,63000,14000,Si,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Dos años,No,Tarjeta de crédito,55,19.4,1083.0,Residencial,Medio,4.0,0.003695238095238,,1,0,70.0,4.7,27.5,0.61,0.2,No
1098-TDVUQ,2025-12-11,Femenino,0,No,No,New York,NY,QUEENS,11522,40.76944850542304,-73.81830259353458,72000,8500,Si,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Mensual,Si,Transferencia bancaria,1,19.25,19.25,Residencial,Alto,9.0,0.0032083333333333,Precio,3,0,43.0,4.0,45.7,0.41,0.13,No
1099-BTKWT,2020-06-10,Femenino,0,Si,No,New York,NY,QUEENS,11653,40.71211308154847,-73.83784950444317,72000,8500,No,Sin servicio,DSL,Si,No,Si,No,Si,Si,Un año,Si,Cheque electrónico,68,54.4,3723.65,Residencial,Medio,5.0,0.0090666666666666,,2,0,74.0,4.4,14.9,0.48,0.17,No
