cliente_id,pais,ciudad,estado,borough,codigo_postal,latitud,longitud,ingreso_mediano,densidad_poblacional,genero,edad,es_mayor,tiene_pareja,tiene_dependientes,segmento_cliente,fecha_registro,tipo_contrato,antiguedad,canal_registro,metodo_pago,cargo_mensual,ingresos_totales,errores_pago,descuento_aplicado,aumento_precio_3m,facturacion_sin_papel,servicio_telefono,lineas_multiples,tipo_internet,seguridad_online,respaldo_online,proteccion_dispositivo,soporte_tecnico,streaming_tv,streaming_peliculas,conexiones_mensuales,dias_activos_semanales,promedio_conexion,caracteristicas_usadas,tasa_crecimiento_uso,tiempo_sesion_promedio,visitas_app_mensual,features_nuevas_usadas,tickets_soporte,tiempo_resolucion,tipo_queja,escaladas,ultimo_contacto_soporte,puntuacion_nps,puntuacion_csat,tasa_apertura_email,tasa_clics_marketing,respuesta_encuesta,referencias_hechas,fecha_ultimo_pago,intentos_cobro_fallidos,dias_mora,cambio_plan_reciente,downgrade_reciente,competidores_area,ofertas_recibidas,precio_vs_mercado,cancelacion
11422-F39FD,USA,New York,NY,MANHATTAN,10079,40.84887871544967,-73.93269755919363,85000.0,28000.0,Femenino,44.0,0,Si,Si,PYME,2025-10-12,Mensual,3,Web,Cheque electrónico,141.12,423.36,3,No,No,Si,Si,No,Fibra óptica,No,No,No,No,No,Si,7,2,39.7,3,-6.55,66.38,74,8,7,17.23,Precio,0,2025-12-17,15,2.57,0.18,0.08,No respondió,0.0,2025-12-02,3,0,0,0,5,0,Alto,1
11423-4793D,USA,New York,NY,BROOKLYN,11238,40.69472103971667,-73.7512282720839,63000.0,14000.0,Masculino,35.0,0,No,No,PYME,2021-06-05,Un año,55,Web,Transferencia bancaria,76.57,4211.349999999999,0,No,No,Si,Si,Si,DSL,Si,Si,No,Si,No,No,58,6,73.6,9,14.41,73.32,33,5,1,10.49,Ninguna,0,2025-08-27,56,3.12,0.32,0.14,Muy satisfecho,1.0,2025-12-09,0,0,0,0,7,1,Competitivo,0
11424-15D0B,USA,New York,NY,BROOKLYN,11221,40.60808536285805,-74.16226147353083,63000.0,14000.0,Masculino,52.0,0,No,No,Residencial,2021-08-04,Dos años,51,Web,Transferencia bancaria,76.29,3890.79,0,No,No,No,No,Sin servicio,DSL,Si,Si,No,No,No,Si,130,6,106.65,6,0.19,101.85,44,1,1,14.25,Ninguna,0,2025-09-22,78,4.57,0.58,0.31,Muy satisfecho,0.0,2025-12-27,3,15,0,1,3,1,Competitivo,1
11425-B651C,USA,New York,NY,MANHATTAN,10149,40.85448427764952,-73.86723452857572,85000.0,28000.0,Femenino,39.0,0,No,No,Residencial,2025-12-11,Mensual,1,Web,Cheque electrónico,77.13,77.13,0,No,Si,Si,Si,No,DSL,No,No,No,Si,No,No,11,2,15.24,3,1.56,10.82,15,1,5,4.98,Red,0,2025-07-11,2,2.2,0.12,0.05,Neutral,0.0,2025-12-11,0,0,0,0,1,1,Bajo,0
11426-874F4,USA,New York,NY,MANHATTAN,10041,40.70288201233877,-73.92182315627588,85000.0,28000.0,Femenino,45.0,0,Si,No,PYME,2023-11-22,Mensual,24,Web,Tarjeta de crédito,122.08,2929.92,1,No,No,No,Si,No,Fibra óptica,No,No,No,Si,No,Si,140,4,113.39,5,23.16,49.52,8,2,1,8.38,Ninguna,0,2025-11-28,57,3.19,0.39,0.13,Neutral,0.0,2025-11-29,0,0,1,0,8,3,Bajo,0
11427-BEA08,USA,New York,NY,BROOKLYN,11252,40.75879870960467,-73.93125809253021,63000.0,14000.0,Masculino,44.0,0,Si,Si,Residencial,2020-05-11,Dos años,63,Web,Transferencia bancaria,18.47,1163.61,0,No,No,No,Si,No,No,Sin servicio internet,Sin servicio internet,Sin servicio internet,Sin servicio internet,Sin servicio internet,Sin servicio internet,130,7,81.23,5,-2.06,78.96,79,4,2,26.15,Ninguna,0,2025-08-05,67,4.82,0.7,0.29,Sin Respuesta,1.0,2025-11-25,0,0,0,1,6,3,Competitivo,0
11428-7314D,USA,New York,NY,QUEENS,11131,40.7290797658265,-73.86222026204968,72000.0,8500.0,Masculino,38.0,0,No,Si,Corporativo,2020-12-07,Dos años,64,Web,Cheque electrónico,179.4,11481.6,0,No,No,Si,Si,Si,Fibra óptica,No,No,Si,Si,Si,Si,73,4,57.76,11,-4.33,51.54,15,5,1,7.31,Ninguna,0,2025-07-22,79,4.3,0.65,0.21,Muy satisfecho,0.0,2025-11-11,1,0,0,0,5,3,Competitivo,0
11429-3BA88,USA,New York,NY,QUEENS,11452,40.73288279648361,-73.78893988964633,72000.0,8500.0,Masculino,21.0,0,Si,No,Residencial,2021-10-03,Un año,49,Web,Cheque por correo,93.23,4568.27,0,No,No,Si,Si,No,DSL,Si,Si,No,No,Si,Si,50,5,85.13,6,-0.72,8.69,94,4,1,44.65,Ninguna,0,2025-10-25,52,2.92,0.26,0.12,Satisfecho,0.0,2025-12-27,0,0,1,0,2,0,Competitivo,0
1143-NMNQJ,USA,New York,NY,STATEN ISLAND,10307,40.76403869143314,-73.97051056631558,82000.0,3200.0,Femenino,51.0,0,No,No,PYME,2025-11-11,Mensual,2,Web,Cheque electrónico,113.06,226.12,1,15%,Si,Si,Si,Si,Fibra óptica,No,No,No,No,No,Si,9,1,40.45,4,0.2,79.86,30,0,6,25.4,Servicio,1,2025-10-08,22,2.0,0.14,0.05,Neutral,0.0,2025-12-04,3,10,0,1,1,0,Competitivo,0
11430-E0D2F,USA,New York,NY,BROOKLYN,11239,40.74346011798269,-73.92121978567832,63000.0,14000.0,Femenino,53.0,0,No,No,PYME,2025-02-14,Mensual,11,Web,Cheque electrónico,120.48,1325.28,1,No,No,No,Si,No,Fibra óptica,Si,No,No,No,No,No,110,6,74.2,11,-1.77,50.01,12,0,4,34.05,Servicio,0,2025-10-25,73,3.1,0.41,0.15,Satisfecho,0.0,2025-12-14,1,15,0,0,6,0,Competitivo,0
11431-9B7C8,USA,New York,NY,QUEENS,11638,40.757751848150775,-73.79281719874072,72000.0,8500.0,Masculino,35.0,0,Si,Si,PYME,2021-11-02,Un año,50,Web,Transferencia bancaria,98.35,4917.5,1,No,No,Si,Si,No,DSL,Si,No,No,Si,Si,Si,75,6,58.35,7,6.17,7.21,4,6,1,5.21,Ninguna,0,2025-10-22,76,4.38,0.64,0.24,Sin Respuesta,0.0,2025-12-19,1,5,0,0,8,1,Competitivo,0
11432-57335,USA,New York,NY,STATEN ISLAND,10311,40.64533737627992,-74.02286419138082,82000.0,3200.0,Femenino,20.0,0,Si,No,Residencial,2025-09-12,Mensual,4,Web,Cheque electrónico,56.14,224.56,0,No,No,Si,No,Sin servicio,DSL,No,No,No,No,No,No,44,6,88.24,10,-3.11,24.61,46,9,4,38.04,Ninguna,0,2025-07-17,64,3.14,0.39,0.15,Satisfecho,0.0,2025-12-09,1,30,0,1,6,2,Competitivo,0
11433-56A32,USA,New York,NY,QUEENS,11574,40.77171927522326,-73.92420098770752,72000.0,8500.0,Masculino,52.0,0,Si,Si,PYME,2023-01-26,Un año,37,Web,Tarjeta de crédito,119.55,4423.349999999999,0,No,No,No,No,Sin servicio,DSL,Si,No,Si,Si,Si,Si,95,7,107.59,11,7.98,30.02,38,6,1,10.56,Ninguna,0,2025-07-13,55,2.72,0.44,0.16,Sin Respuesta,1.0,2025-12-14,0,10,0,1,1,1,Competitivo,0
11434-C13FF,USA,New York,NY,BRONX,10471,40.76331743755205,-73.92819946886057,42000.0,13000.0,Masculino,28.0,0,No,No,Residencial,2024-07-19,Dos años,19,Web,Tarjeta de crédito,25.37,482.03,0,No,No,No,Si,No,No,Sin servicio internet,Sin servicio internet,Sin servicio internet,Sin servicio internet,Sin servicio internet,Sin servicio internet,44,4,54.1,9,13.12,63.72,17,9,2,42.56,Ninguna,0,2025-07-17,56,4.28,0.27,0.08,Satisfecho,1.0,2025-12-21,1,10,1,0,8,0,Alto,0
11435-7FE3D,USA,New York,NY,QUEENS,11517,40.65843287858708,-73.90019594311245,72000.0,8500.0,Masculino,44.0,0,No,No,Residencial,2025-06-14,Mensual,7,Web,Transferencia bancaria,29.48,206.36,0,No,No,Si,Si,Si,No,Sin servicio internet,Sin servicio internet,Sin servicio internet,Sin servicio internet,Sin servicio internet,Sin servicio internet,66,5,48.11,7,13.86,26.43,19,5,2,37.02,Ninguna,0,2025-09-09,78,4.91,0.82,0.28,Satisfecho,2.0,2025-11-07,3,0,0,0,5,0,Alto,0
11436-FF70E,USA,New York,NY,BRONX,10456,40.78032231405092,-73.95157191592283,42000.0,13000.0,Masculino,43.0,0,No,Si,Residencial,2025-12-11,Mensual,1,Web,Cheque por correo,20.9,20.9,0,No,No,Si,Si,No,No,Sin servicio internet,Sin servicio internet,Sin servicio internet,Sin servicio internet,Sin servicio internet,Sin servicio internet,132,7,49.22,8,10.57,46.55,1,8,2,22.74,Precio,0,2025-10-07,71,3.23,0.25,0.12,Muy satisfecho,1.0,2025-12-30,0,5,1,0,5,0,Competitivo,0
11437-D6E42,USA,New York,NY,MANHATTAN,10264,40.71515585295153,-73.9131260525313,85000.0,28000.0,Masculino,39.0,1,No,No,Residencial,2025-11-11,Mensual,2,Web,Cheque por correo,43.27,86.54,0,20%,No,No,Si,No,DSL,No,No,No,No,No,No,31,2,18.07,4,3.76,91.33,39,1,7,47.93,Ninguna,0,2025-09-07,24,2.78,0.2,0.1,Neutral,0.0,2025-12-09,0,5,1,0,7,0,Competitivo,1
11438-7A799,USA,New York,NY,BRONX,10455,40.73413843314107,-73.9991845242651,42000.0,13000.0,Masculino,47.0,0,No,No,Residencial,2023-01-26,Un año,37,Web,Tarjeta de crédito,25.08,927.96,8,No,No,Si,Si,No,No,Sin servicio internet,Sin servicio internet,Sin servicio internet,Sin servicio internet,Sin servicio internet,Sin servicio internet,71,6,45.55,10,10.93,97.89,29,0,16,45.78,Ninguna,5,2025-11-17,76,4.34,0.62,0.22,Neutral,2.0,2025-12-05,1,0,0,0,6,1,Competitivo,0
11439-981FD,USA,New York,NY,BROOKLYN,11216,40.816212147508466,-73.91736195237984,63000.0,14000.0,Masculino,44.0,0,No,No,Residencial,2025-04-15,Mensual,9,Web,Cheque por correo,81.05,729.4499999999999,0,No,Si,No,Si,No,DSL,Si,No,No,Si,No,Si,128,6,77.15,8,20.78,96.47,9,10,2,6.56,Ninguna,0,2025-08-24,56,2.91,0.29,0.15,Muy satisfecho,0.0,2025-11-05,3,0,0,0,1,0,Competitivo,0
11440-ACF8B,USA,New York,NY,BRONX,10470,40.61866816530857,-74.12341734287662,42000.0,13000.0,Femenino,48.0,0,Si,No,Residencial,2025-10-12,Mensual,3,Web,Cheque por correo,52.61,157.82999999999998,0,No,No,Si,Si,No,DSL,No,No,No,No,No,No,145,6,97.33,6,24.79,84.93,63,5,4,15.89,Ninguna,0,2025-09-25,46,2.83,0.36,0.13,Muy satisfecho,0.0,2025-11-02,0,5,0,1,4,1,Bajo,0
11443-A5B56,USA,New York,NY,QUEENS,11146,40.71047751398277,-73.79361700913402,72000.0,8500.0,Femenino,31.0,0,Si,No,PYME,2022-08-29,Un año,41,Web,Transferencia bancaria,129.71,5318.110000000001,0,No,Si,Si,Si,No,Fibra óptica,Si,Si,Si,No,Si,Si,137,4,98.28,11,1.89,67.31,41,5,1,12.58,Ninguna,0,2025-11-11,68,3.22,0.21,0.07,Muy satisfecho,0.0,2025-12-13,1,30,0,0,8,1,Competitivo,0
11444-5BF88,USA,New York,NY,QUEENS,11140,40.87602186087904,-73.90300079606398,72000.0,8500.0,Masculino,39.0,0,Si,No,PYME,2025-12-11,Mensual,1,Web,Cheque electrónico,141.15,141.15,4,25%,Si,Si,Si,No,Fibra óptica,No,No,No,Si,Si,No,19,2,32.28,3,-9.69,68.32,74,8,7,12.45,Ninguna,0,2025-09-02,4,2.26,0.3,0.13,Muy insatisfecho,0.0,2025-11-11,0,10,0,0,4,0,Competitivo,1
11445-C4F2C,USA,New York,NY,QUEENS,11582,40.57890385276858,-74.10136997635222,72000.0,8500.0,Femenino,44.0,0,No,No,Residencial,2025-03-16,Mensual,10,Web,Cheque electrónico,46.73,467.2999999999999,0,No,No,No,Si,No,DSL,No,Si,No,No,No,No,144,5,67.22,11,10.66,114.64,52,10,4,42.51,Ninguna,0,2025-09-06,63,3.07,0.53,0.17,Satisfecho,1.0,2025-12-17,3,0,0,0,3,0,Competitivo,0
11446-85B42,USA,New York,NY,MANHATTAN,10258,40.11238533659802,-77.51958437167269,85000.0,28000.0,Femenino,30.0,0,No,No,Residencial,2025-12-11,Mensual,1,Web,Cheque por correo,62.8,62.8,2,10%,Si,No,No,Sin servicio,DSL,No,No,No,No,No,Si,38,1,35.76,4,-11.35,105.95,92,9,6,44.52,Red,2,2025-10-30,10,1.92,0.18,0.06,Neutral,0.0,2025-11-14,0,0,1,0,1,0,Alto,0
11447-327E1,USA,New York,NY,STATEN ISLAND,10303,40.74929333921495,-73.88871273752886,82000.0,3200.0,Masculino,64.0,0,No,No,Residencial,2024-05-20,Mensual,21,Web,Cheque por correo,62.73,1317.33,0,No,No,Si,Si,No,DSL,No,Si,No,No,No,No,138,5,88.24,8,11.92,79.73,52,0,4,45.2,Red,0,2025-12-28,37,4.23,0.19,0.07,Satisfecho,0.0,2025-12-02,3,0,0,0,8,0,Competitivo,0
11448-2C029,USA,New York,NY,BROOKLYN,11240,40.653268372000255,-73.88665289807177,63000.0,14000.0,Femenino,44.0,0,Si,No,Corporativo,2020-10-08,Dos años,62,Web,Tarjeta de crédito,118.9,7371.8,0,No,No,Si,Si,Si,DSL,Si,No,Si,Si,Si,Si,93,7,109.59,9,15.53,58.88,39,10,1,2.5,Ninguna,0,2025-08-17,67,4.3,0.73,0.24,Satisfecho,1.0,2025-12-19,1,0,1,0,7,0,Competitivo,0
11449-E2E2F,USA,New York,NY,BROOKLYN,11244,40.70054841895461,-73.9098235161727,63000.0,14000.0,Femenino,28.0,0,Si,No,Residencial,2020-02-11,Dos años,75,Web,Transferencia bancaria,17.74,1330.4999999999998,0,No,No,Si,Si,Si,No,Sin servicio internet,Sin servicio internet,Sin servicio internet,Sin servicio internet,Sin servicio internet,Sin servicio internet,59,7,80.85,8,-3.19,88.84,15,0,1,13.17,Ninguna,0,2025-11-13,87,4.54,0.57,0.26,Muy satisfecho,0.0,2025-11-25,2,0,0,1,4,1,Competitivo,0
11450-40210,USA,New York,NY,MANHATTAN,10235,40.75171258088681,-73.97269240170475,85000.0,28000.0,Masculino,50.0,0,No,No,Residencial,2025-04-15,Mensual,8,Web,Cheque por correo,29.34,234.72,0,No,No,No,Si,No,No,Sin servicio internet,Sin servicio internet,Sin servicio internet,Sin servicio internet,Sin servicio internet,Sin servicio internet,127,7,58.51,10,15.44,12.21,47,9,2,41.51,Ninguna,0,2025-09-08,69,2.96,0.35,0.14,Satisfecho,1.0,2025-11-02,1,5,0,1,7,2,Competitivo,0
11451-F0EB6,USA,New York,NY,BROOKLYN,11239,40.70798193180743,-73.95217993149684,63000.0,14000.0,Masculino,40.0,0,Si,Si,PYME,2023-08-24,Mensual,28,Web,Tarjeta de crédito,126.1,3530.7999999999997,0,No,No,No,Si,No,Fibra óptica,Si,No,No,No,Si,Si,73,7,92.6,5,-0.22,113.63,60,5,7,34.32,Facturacion,0,2025-09-26,14,1.16,0.14,0.05,No respondió,0.0,2025-11-26,3,30,0,0,2,0,Bajo,0
11452-211FF,USA,New York,NY,QUEENS,11184,40.68728905990788,-73.97981132420105,72000.0,8500.0,Masculino,44.0,0,No,No,Residencial,2023-08-24,Un año,28,Web,Cheque por correo,22.29,624.12,0,No,No,No,Si,No,No,Sin servicio internet,Sin servicio internet,Sin servicio internet,Sin servicio internet,Sin servicio internet,Sin servicio internet,73,6,56.31,8,3.98,67.97,91,4,1,43.49,Ninguna,0,2025-07-15,51,3.4,0.43,0.15,Neutral,0.0,2025-11-09,0,15,0,0,1,3,Bajo,0
11453-0EC96,USA,New York,NY,QUEENS,11144,40.57543312279164,-73.97801647268102,72000.0,8500.0,Masculino,30.0,0,No,No,Residencial,2024-01-21,Un año,22,Web,Cheque electrónico,16.64,366.08,1,10%,Si,No,Si,Si,No,Sin servicio internet,Sin servicio internet,Sin servicio internet,Sin servicio internet,Sin servicio internet,Sin servicio internet,85,5,117.24,5,17.16,62.82,80,10,2,46.82,Ninguna,0,2025-07-20,69,3.37,0.46,0.14,Sin Respuesta,0.0,2025-12-19,3,0,0,0,4,1,Bajo,0
11454-8B36C,USA,New York,NY,QUEENS,11309,40.77474962918762,-73.95626239850044,72000.0,8500.0,Femenino,32.0,0,Si,No,Residencial,2023-05-26,Mensual,33,Web,Transferencia bancaria,18.73,618.09,0,No,Si,No,Si,No,No,Sin servicio internet,Sin servicio internet,Sin servicio internet,Sin servicio internet,Sin servicio internet,Sin servicio internet,130,7,97.75,9,-0.09,38.45,37,5,1,36.58,Ninguna,0,2025-11-04,68,3.48,0.38,0.17,Satisfecho,0.0,2025-12-24,3,15,0,1,7,1,Alto,0
11455-20BA6,USA,New York,NY,BRONX,10473,40.69150922850407,-73.99150067506541,42000.0,13000.0,Femenino,42.0,0,No,No,Residencial,2025-11-11,Mensual,2,Web,Cheque electrónico,66.01,132.02,2,No,No,Si,No,Sin servicio,DSL,No,No,No,No,No,Si,60,7,101.72,10,10.95,5.39,43,5,6,39.48,Servicio,0,2025-10-07,9,2.4,0.31,0.13,No respondió,0.0,2025-12-02,0,0,0,0,5,0,Competitivo,0
11456-E1909,USA,New York,NY,QUEENS,11266,40.69354182375344,-73.9808552006961,72000.0,8500.0,Masculino,40.0,1,Si,No,PYME,2025-12-11,Mensual,1,Web,Cheque electrónico,126.02,126.02,0,No,Si,No,Si,Si,Fibra óptica,No,No,No,No,No,No,136,7,95.95,6,12.68,12.04,14,3,4,17.54,Red,0,2025-10-02,58,3.36,0.28,0.12,Satisfecho,0.0,2025-12-20,0,10,0,0,2,3,Competitivo,0
11457-57B4B,USA,New York,NY,BRONX,10458,40.745360106611294,-73.90730519390904,42000.0,13000.0,Masculino,58.0,0,No,No,Residencial,2022-04-01,Un año,43,Web,Tarjeta de crédito,61.15,2629.45,0,No,Si,No,No,Sin servicio,DSL,No,No,Si,Si,No,No,78,5,52.32,5,-0.07,35.25,94,9,2,11.89,Ninguna,0,2025-09-03,46,3.63,0.43,0.21,Neutral,1.0,2025-11-28,0,5,0,1,3,3,Competitivo,0
11458-42A3D,USA,New York,NY,QUEENS,11535,40.77629634336559,-73.98213844041697,72000.0,8500.0,Femenino,50.0,0,No,No,Residencial,2025-11-11,Mensual,2,Web,Cheque por correo,27.86,55.72,0,No,No,No,Si,No,No,Sin servicio internet,Sin servicio internet,Sin servicio internet,Sin servicio internet,Sin servicio internet,Sin servicio internet,79,4,79.9,6,3.24,67.28,60,7,4,19.7,Precio,0,2025-10-14,46,3.82,0.28,0.08,Satisfecho,0.0,2025-12-25,3,10,1,0,4,0,Bajo,0
11459-DA569,USA,New York,NY,STATEN ISLAND,10306,40.87803521866907,-73.86608820283634,82000.0,3200.0,Femenino,58.0,1,No,No,PYME,2025-12-11,Mensual,1,Web,Cheque por correo,120.7,120.7,1,20%,Si,Si,Si,Si,Fibra óptica,No,No,No,No,No,No,29,2,32.8,2,-2.87,14.61,6,4,6,32.17,Red,0,2025-07-13,20,1.62,0.24,0.08,Neutral,0.0,2025-11-14,1,15,0,1,5,0,Competitivo,0
11460-AB4AC,USA,New York,NY,BRONX,10474,40.62809192390397,-73.9394336507823,42000.0,13000.0,Masculino,44.0,0,No,No,PYME,2021-04-06,Dos años,62,Web,Transferencia bancaria,83.75,5192.5,0,10%,No,No,Si,No,DSL,No,Si,Si,Si,Si,No,110,6,62.2,10,8.84,116.79,29,5,0,10.73,Ninguna,0,2025-12-03,97,4.52,0.61,0.24,Muy satisfecho,0.0,2025-12-16,0,5,0,1,2,2,Alto,0
11461-F806C,USA,New York,NY,MANHATTAN,10044,40.7475162871293,-73.87172440379659,85000.0,28000.0,Masculino,29.0,0,No,Si,Residencial,2025-01-15,Dos años,12,Web,Transferencia bancaria,25.24,302.88,0,No,No,No,Si,No,No,Sin servicio internet,Sin servicio internet,Sin servicio internet,Sin servicio internet,Sin servicio internet,Sin servicio internet,89,4,95.96,11,14.8,52.26,35,1,1,46.57,Ninguna,0,2025-09-30,81,4.01,0.78,0.27,Satisfecho,1.0,2025-11-29,1,0,0,0,2,0,Bajo,0
11462-1D6A9,USA,New York,NY,QUEENS,11046,40.674062388698424,-73.79816031333411,72000.0,8500.0,Masculino,36.0,1,Si,No,PYME,2023-05-26,Mensual,29,Web,Cheque electrónico,114.92,3332.68,0,No,Si,Si,Si,Si,Fibra óptica,No,Si,Si,No,No,Si,97,4,106.49,10,20.64,41.38,89,0,4,24.87,Red,0,2025-10-07,53,3.48,0.27,0.11,Sin Respuesta,0.0,2025-11-10,0,10,0,1,3,3,Alto,0
11463-8D56F,USA,New York,NY,BROOKLYN,11201,40.71843786771066,-73.76523771470592,63000.0,14000.0,Femenino,42.0,0,No,No,PYME,2021-05-06,Dos años,62,Web,Cheque por correo,88.68,5498.160000000001,0,No,No,No,Si,No,DSL,No,Si,Si,Si,Si,No,113,4,65.62,10,-0.95,65.4,10,7,1,9.59,Ninguna,0,2025-09-10,100,4.76,0.52,0.25,Neutral,0.0,2025-12-20,1,0,1,1,6,2,Bajo,0
11464-CDAA9,USA,New York,NY,QUEENS,11628,40.58764082070347,-73.97252186806759,72000.0,8500.0,Masculino,22.0,0,Si,Si,Residencial,2021-02-05,Dos años,61,Web,Tarjeta de crédito,19.68,1200.48,0,10%,Si,No,Si,No,No,Sin servicio internet,Sin servicio internet,Sin servicio internet,Sin servicio internet,Sin servicio internet,Sin servicio internet,113,6,59.97,6,-2.88,12.47,69,5,1,43.51,Ninguna,0,2025-09-04,77,4.93,0.63,0.21,Satisfecho,0.0,2025-11-03,3,10,0,1,8,1,Alto,0
11465-08BDE,USA,New York,NY,MANHATTAN,10003,40.80005543931596,-73.96225954019378,85000.0,28000.0,Masculino,31.0,0,No,No,Residencial,2025-10-12,Mensual,3,Web,Tarjeta de crédito,85.05,255.15,0,10%,Si,Si,Si,No,DSL,Si,No,No,Si,Si,No,77,5,111.24,5,15.0,102.8,28,8,4,8.62,Ninguna,0,2025-07-27,50,3.43,0.32,0.1,Sin Respuesta,1.0,2025-12-08,1,10,0,0,7,0,Competitivo,0
11466-C156C,USA,New York,NY,BROOKLYN,11236,40.781150266150114,-73.94934342061939,63000.0,14000.0,Masculino,50.0,0,No,No,PYME,2024-01-21,Mensual,23,Web,Cheque electrónico,159.63,3671.49,0,No,No,Si,Si,Si,Fibra óptica,No,No,No,No,Si,Si,63,7,45.39,7,18.12,57.93,91,4,2,34.58,Precio,0,2025-11-23,55,3.11,0.45,0.16,No respondió,1.0,2025-12-05,1,5,0,0,6,1,Competitivo,0
11467-DDC91,USA,New York,NY,MANHATTAN,10160,40.62781193632312,-73.9772642992974,85000.0,28000.0,Masculino,54.0,0,No,No,Residencial,2025-12-11,Mensual,1,Web,Cheque por correo,58.8,58.8,0,No,Si,Si,Si,No,DSL,Si,No,No,No,No,No,147,4,64.18,8,8.48,25.51,78,7,4,28.48,Servicio,2,2025-07-22,38,3.63,0.48,0.23,Muy satisfecho,0.0,2025-11-27,0,0,0,1,5,0,Alto,0
11468-170F2,USA,New York,NY,BROOKLYN,11233,40.71503520591023,-73.91328853680984,63000.0,14000.0,Masculino,21.0,0,No,Si,Residencial,2025-07-14,Mensual,6,Web,Cheque por correo,27.18,163.07999999999998,0,No,No,No,Si,No,No,Sin servicio internet,Sin servicio internet,Sin servicio internet,Sin servicio internet,Sin servicio internet,Sin servicio internet,113,6,75.5,11,6.82,23.6,92,6,1,14.7,Ninguna,0,2025-10-27,84,4.88,0.56,0.16,Neutral,0.0,2025-11-15,1,15,0,0,4,1,Competitivo,0
11469-20337,USA,New York,NY,BRONX,10465,40.704193844291055,-73.93009894890442,42000.0,13000.0,Masculino,51.0,0,No,No,PYME,2020-12-07,Mensual,59,Web,Transferencia bancaria,129.4,7634.6,0,No,No,No,Si,Si,Fibra óptica,Si,Si,Si,No,No,No,98,6,95.42,9,12.9,46.51,5,10,3,46.22,Red,0,2025-08-05,62,3.11,0.25,0.12,Muy satisfecho,0.0,2025-11-27,1,0,0,1,1,0,Competitivo,0
11470-139AE,USA,New York,NY,BRONX,10467,40.753664783882606,-73.87195439103651,42000.0,13000.0,Femenino,38.0,0,No,No,Corporativo,2023-07-25,Un año,29,Web,Tarjeta de crédito,157.48,4566.92,0,No,No,No,Si,Si,Fibra óptica,No,Si,Si,Si,Si,Si,84,6,119.78,10,11.54,70.94,75,9,2,5.01,Ninguna,0,2025-12-05,54,3.69,0.26,0.08,Sin Respuesta,0.0,2025-12-02,1,10,0,0,2,2,Competitivo,0
11471-892D9,USA,New York,NY,BROOKLYN,11218,40.70932889205469,-73.78836160753329,63000.0,14000.0,Femenino,64.0,1,Si,No,Corporativo,2024-07-19,Mensual,18,Web,Transferencia bancaria,182.58,3286.44,0,No,Si,No,Si,Si,Fibra óptica,No,No,No,Si,Si,Si,65,7,72.81,6,9.71,52.94,50,0,6,4.05,Precio,2,2025-12-04,13,1.22,0.11,0.04,Muy satisfecho,0.0,2025-12-27,0,30,1,0,4,0,Bajo,0
11472-B7852,USA,New York,NY,BRONX,10456,40.78297965398323,-73.84587750229436,42000.0,13000.0,Masculino,30.0,0,No,Si,Residencial,2025-12-11,Mensual,1,Web,Cheque por correo,17.53,17.53,0,No,No,Si,Si,No,No,Sin servicio internet,Sin servicio internet,Sin servicio internet,Sin servicio internet,Sin servicio internet,Sin servicio internet,133,5,116.16,7,19.56,73.63,79,6,2,21.24,Precio,0,2025-08-02,66,3.16,0.27,0.13,Satisfecho,0.0,2025-12-14,3,15,1,1,1,2,Competitivo,0
11473-C8512,USA,New York,NY,STATEN ISLAND,10301,40.63583489373305,-74.02303387884206,82000.0,3200.0,Femenino,64.0,0,Si,No,Corporativo,2022-11-27,Mensual,37,Web,Cheque electrónico,146.42,5417.54,1,No,No,Si,Si,Si,Fibra óptica,No,No,Si,Si,Si,Si,130,6,72.51,6,0.21,86.13,37,3,4,7.03,Precio,2,2025-12-09,22,1.4,0.26,0.09,Sin Respuesta,0.0,2025-11-26,2,30,0,0,6,0,Competitivo,0
11474-0607F,USA,New York,NY,BROOKLYN,11204,40.5733627726406,-74.11520569500736,63000.0,14000.0,Femenino,44.0,0,No,No,PYME,2025-01-15,Un año,11,Web,Cheque por correo,132.45,1456.9499999999998,0,No,No,No,Si,No,Fibra óptica,No,No,Si,No,Si,Si,147,5,97.16,7,15.44,91.08,72,5,9,40.08,Precio,2,2025-07-09,20,1.26,0.18,0.08,Neutral,0.0,2025-12-18,1,15,1,0,4,3,Alto,0
11475-661B1,USA,New York,NY,BRONX,10471,40.11238533659802,-77.51958437167269,42000.0,13000.0,Femenino,21.0,0,No,No,Residencial,2021-12-02,Dos años,45,Web,Tarjeta de crédito,23.23,1045.35,0,No,No,No,Si,No,No,Sin servicio internet,Sin servicio internet,Sin servicio internet,Sin servicio internet,Sin servicio internet,Sin servicio internet,122,4,57.4,9,17.24,51.11,21,8,2,41.06,Ninguna,0,2025-09-21,55,4.03,0.3,0.17,Satisfecho,0.0,2025-11-20,1,30,0,0,4,3,Competitivo,0
11476-76607,USA,New York,NY,MANHATTAN,10115,40.64176228336423,-73.96163201406432,85000.0,28000.0,Masculino,43.0,0,No,No,Corporativo,2023-05-26,Mensual,31,Web,Transferencia bancaria,273.8996338745793,8490.888650111958,1,No,No,No,Si,Si,Fibra óptica,Si,No,No,Si,No,No,104,7,79.53,11,22.04,87.46,96,8,2,4.53,Ninguna,0,2025-10-25,64,3.22,0.51,0.2,Neutral,0.0,2025-11-22,0,0,0,0,8,0,Competitivo,0
